iter	Passed	Remaining
0	1	157
1	2	146
2	4	141
3	5	132
4	6	131
5	8	128
6	9	126
7	10	123
8	12	123
9	13	121
10	14	119
11	16	118
12	17	116
13	18	115
14	20	113
15	21	111
16	22	110
17	23	108
18	25	107
19	26	105
20	27	104
21	29	103
22	30	101
23	31	100
24	33	99
25	34	97
26	35	96
27	36	94
28	38	93
29	39	92
30	40	91
31	42	89
32	43	89
33	45	89
34	47	88
35	49	88
36	51	86
37	52	85
38	53	84
39	55	82
40	56	81
41	57	78
42	58	77
43	59	75
44	60	74
45	62	73
46	63	71
47	64	70
48	66	68
49	67	67
50	68	65
51	70	64
52	71	63
53	72	61
54	73	60
55	74	58
56	76	57
57	77	55
58	78	54
59	79	53
60	81	51
61	82	50
62	83	49
63	85	47
64	86	46
65	88	45
66	89	44
67	90	42
68	92	41
69	93	40
70	94	38
71	96	37
72	97	36
73	98	34
74	100	33
75	101	32
76	102	30
77	104	29
78	105	28
79	106	26
80	108	25
81	109	23
82	110	22
83	111	21
84	113	19
85	114	18
86	115	17
87	116	15
88	118	14
89	119	13
90	121	11
91	122	10
92	123	9
93	124	7
94	126	6
95	127	5
96	128	3
97	129	2
98	131	1
99	132	0
